id,title,category,description,price,image,stock,created_at,sizes,colors,blouse_sizes
2,Nexora Hoodie & Jogging Premium,hoodies,"",89.90,/images/Hoodies/nexora-hoodie-jogging-premium.png,50,2026-06-13 12:53:29.287+02,"[""S"", ""M"", ""L"", ""XL""]","{""Bleu Nuit"": ""/images/Hoodies/nexora-hoodie-jogging-blue.png"", ""Beige Sable"": ""/images/Hoodies/nexora-hoodie-jogging-beige.png"", ""Blanc Perle"": ""/images/Hoodies/nexora-hoodie-jogging-white.png"", ""Noir Midnight"": ""/images/Hoodies/nexora-hoodie-jogging-noir.png"", ""Bordeaux Royal"": ""/images/Hoodies/nexora-hoodie-jogging-bordeaux.png"", ""Vert Émeraude"": ""/images/Hoodies/nexora-hoodie-jogging-green.png"", ""Gris Anthracite"": ""/images/Hoodies/nexora-hoodie-jogging-grey.png""}",
3,Nexora Exclusive T-Shirt,tshirts,"",35.90,/images/T-Shirts/Nexora Exclusive T-Shirt.png,50,2026-06-13 12:53:29.293+02,"[""S"", ""M"", ""L"", ""XL""]","{""Blanc Cassé"": ""/images/T-Shirts/Nexora Exclusive T-Shirt Blanc.png"", ""Noir Midnight"": ""/images/T-Shirts/Nexora Exclusive T-Shirt Noir.png""}",
4,Nexora Classic Shirt,chemises,"",49.90,/images/Chemises/nexora-shirt.png,50,2026-06-13 12:53:29.299+02,"[""S"", ""M"", ""L"", ""XL""]","{""Beige Sable"": ""/images/Chemises/nexora-shirt-beige.png"", ""Blanc Sable"": ""/images/Chemises/nexora-shirt-white.png"", ""Noir Midnight"": ""/images/Chemises/nexora-shirt-black.png""}",
5,Nexora Tailored Pants,pantalons,"",59.90,/images/Pantalons/nexora-pants.png,50,2026-06-13 12:53:29.307+02,"[38, 40, 42, 44, 46]","{""Noir"": ""/images/Pantalons/nexora-pants-black.png"", ""Beige"": ""/images/Pantalons/nexora-pants-beige.png"", ""Marron"": ""/images/Pantalons/nexora-pants-brown.png""}",
6,Nexora Court Royale 2,chaussures,"",75.90,/images/Chaussures/nexora-court-royale-2.png,50,2026-06-13 12:53:29.316+02,"[39, 40, 41, 42, 43, 44]","{""Noir"": ""/images/Chaussures/nexora-court-royale-2-black.png"", ""Blanc"": ""/images/Chaussures/nexora-court-royale-2-white.png""}",
7,Nexora Kanjivaram Silk Saree,kanjivaram-silk,"",179.90,/images/Sarees/Soft Silk Saree Collection/nexora-silk-saree.png,50,2026-06-13 12:53:29.326+02,"[""Free Size"", ""Ready to Wear""]","{""Bleu Nuit"": ""/images/Sarees/Soft Silk Saree Collection/nexora-silk-blue.png"", ""Rouge Royal"": ""/images/Sarees/Soft Silk Saree Collection/nexora-silk-red.png"", ""Vert Émeraude"": ""/images/Sarees/Soft Silk Saree Collection/nexora-silk-green.png""}","[""S"", ""M"", ""L"", ""XL""]"
9,Nexora Arani Silk Bridal Collection,arani-silk,"",249.90,/images/Sarees/Arani Silk Bridal Collection/nexora-arani-bridal-collection.png,50,2026-06-13 12:53:29.343+02,"[""Free Size"", ""Ready to Wear""]","{""Gold Royal"": ""/images/Sarees/Arani Silk Bridal Collection/nexora-arani-bridal-gold.png"", ""Rose Bridal"": ""/images/Sarees/Arani Silk Bridal Collection/nexora-arani-bridal-rose.png"", ""Rouge Royal"": ""/images/Sarees/Arani Silk Bridal Collection/nexora-arani-bridal-royal-red.png"", ""Bordeaux Luxe"": ""/images/Sarees/Arani Silk Bridal Collection/nexora-arani-bridal-bordeaux.png"", ""Rouge Mariage"": ""/images/Sarees/Arani Silk Bridal Collection/nexora-arani-bridal-red.png"", ""Vert Émeraude Royal"": ""/images/Sarees/Arani Silk Bridal Collection/nexora-arani-bridal-green.png""}","[""S"", ""M"", ""L"", ""XL""]"
10,Nexora Mysore Silk Festive Collection,mysore-silk,"",169.90,/images/Sarees/Mysore Silk Festive Collection/nexora-mysore-silk-festive-collection.png,50,2026-06-13 12:53:29.349+02,"[""Free Size"", ""Ready to Wear""]","{""Bleu Royal"": ""/images/Sarees/Mysore Silk Festive Collection/nexora-mysore-blue.png"", ""Rouge Rubis"": ""/images/Sarees/Mysore Silk Festive Collection/nexora-mysore-red.png"", ""Or Champagne"": ""/images/Sarees/Mysore Silk Festive Collection/nexora-mysore-gold.png"", ""Rose Fuchsia"": ""/images/Sarees/Mysore Silk Festive Collection/nexora-mysore-pink.png"", ""Violet Prune"": ""/images/Sarees/Mysore Silk Festive Collection/nexora-mysore-purple.png"", ""Vert Émeraude"": ""/images/Sarees/Mysore Silk Festive Collection/nexora-mysore-green.png""}","[""S"", ""M"", ""L"", ""XL""]"
11,Nexora Luxury Handbag Collection,sacs,"",149.90,/images/Sacs/nexora-bag-collection.png,50,2026-06-13 12:53:29.356+02,"[""Unique""]","{""Vert Sauge"": [""/images/Sacs/nexora-bag-green.png"", ""/images/Sacs/nexora-bag-green-preview.png""], ""Camel Luxury"": [""/images/Sacs/nexora-bag-camel.png"", ""/images/Sacs/nexora-bag-camel-preview.png""], ""Noir Premium"": [""/images/Sacs/nexora-bag-black.png"", ""/images/Sacs/nexora-bag-black-preview.png""], ""Bordeaux Luxe"": [""/images/Sacs/nexora-bag-bordeaux.png"", ""/images/Sacs/nexora-bag-bordeaux-preview.png""], ""Champagne Gold"": [""/images/Sacs/nexora-bag-champagne.png"", ""/images/Sacs/nexora-bag-champagne-preview.png""], ""Rose Blush Royal"": [""/images/Sacs/nexora-bag-rose.png"", ""/images/Sacs/nexora-bag-rose-preview.png""]}",
12,Nexora Churidar Collection,churidar,"Découvrez la Nexora Premium Cotton Churidar Collection, inspirée de l'élégance intemporelle du Tamil Nadu. Réalisée dans un coton premium doux, léger et respirant, cette collection associe tradition et modernité à travers des broderies raffinées et des finitions haut de gamme. Déclinée en Blanc Jasmin, Rose Pastel, Bleu Royal, Vert Émeraude, Bordeaux Royal et Noir Impérial, elle sublime chaque silhouette avec grâce. Une collection pensée pour les cérémonies, les fêtes et les occasions d'exception.",129.90,/images/Churidars/nexora-churidar-collection.png,50,2026-06-13 12:53:29.364+02,"[""S"", ""M"", ""L"", ""XL"", ""XXL""]","{""Bleu Royal"": ""/images/Churidars/nexora-churidar-blue.png"", ""Rose Pastel"": ""/images/Churidars/nexora-churidar-pink.png"", ""Blanc Jasmin"": ""/images/Churidars/nexora-churidar-white.png"", ""Bordeaux Royal"": ""/images/Churidars/nexora-churidar-bordeaux.png"", ""Noir Impérial"": ""/images/Churidars/nexora-churidar-black.png"", ""Vert Émeraude"": ""/images/Churidars/nexora-churidar-green.png""}",
